Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover,GDP,Inflation,Unemployment,CCI
GRMN,0.86099,0.73551,0.90479,0.86045,0.88667,1.0,0.78645,0.68255,0.78734,0.93632,0.72468,0.88541,0.90438,0.21921,0.19533,0.19694,0.31159
GS,1.0,1.0,0.9148,0.71408,0.7917,0.80155,0.79351,0.84054,0.78242,1.0,0.92357,1.0,0.93608,0.16865,0.16231,0.18091,0.18044
GWW,0.67322,0.67955,0.8702,0.90349,0.9393,0.88069,0.91352,0.93797,0.95084,0.94766,0.9048,0.87023,0.82492,0.24092,0.25562,0.25198,0.25149
HAL,0.83512,0.86488,0.9228,0.92906,0.94834,0.88917,0.82871,0.81294,0.81492,0.95307,0.95082,0.93932,0.676,0.22866,0.25784,0.26655,0.24695
HAS,0.89936,0.93772,0.68346,0.67342,0.79263,0.78955,0.72533,0.7758,0.75785,0.75551,0.81826,0.62811,0.91732,0.26567,0.27799,0.25139,0.20495
HBAN,1.0,1.0,0.7084,0.6894,0.739,0.675,0.8294,0.7692,0.6828,1.0,0.755,1.0,0.788,0.16121,0.18227,0.19104,0.15779
HCA,0.81547,0.83189,0.84519,0.94752,0.91701,0.8059,0.82714,0.71674,0.78543,0.87066,0.81202,0.83189,0.95292,0.21259,0.21639,0.24936,0.32167
HD,0.7246,0.85487,0.86068,0.77476,0.83727,0.76686,0.78983,0.79046,0.85067,0.81829,0.85295,0.87535,0.8337,0.19991,0.19596,0.25668,0.34745
HES,0.77209,0.68797,0.96092,0.96259,0.90715,0.90997,0.8858,0.91318,0.85486,0.88198,0.90475,0.8738,0.84205,0.24454,0.22841,0.2467,0.28035
HIG,1.0,1.0,0.87408,0.88291,0.76441,0.90628,0.8715,0.70441,0.79611,1.0,0.91851,1.0,0.86303,0.1454,0.15116,0.16386,0.23189
HII,0.92691,0.97982,0.87735,0.76487,0.68411,0.75408,0.8801,0.76086,0.7997,0.83183,0.73835,0.83342,0.62446,0.24013,0.24827,0.25115,0.26045
HLT,0.87162,1.0,0.78132,0.71279,0.77238,0.70958,0.87205,0.87434,0.93758,0.70999,0.94876,1.0,0.94482,0.2102,0.21428,0.19197,0.2297
